1	2	3	4	5	6	7	8	9	10	11	
"Adams, John"	10	Computer Science	0.5	0	0	Comp App	Comp	0.5	TM1:[A]	S1:[A-]	
"Adams, John"	10	Fine Arts	1	0	0	Intro. to Draw.	Comp	0.5	TM1:[B]	S1:[B]	
"Adams, John"	10	Fine Arts	1	0	0	Graphic Des. I	Comp	0.5	TM2:[A-]	S2:[A-]	
"Adams, John"	10	General Electives	1	1	5.5	Career Life Pl.	Comp	0.5	TM1:[A-]	S1:[A-]	
"Adams, John"	10	General Electives	1	1	5.5	Culinary Es.	IP	0.5			
"Adams, John"	10	General Electives	1	1	5.5	Strength & Cond	Comp	0.5	TM1:[A]	S1:[A]	
"Adams, John"	10	General Electives	1	1	5.5	Strngh & Con II	IP	0.5			
"Baker, Max L."	11	Total	17.5	3.5	5.5						
"Baker, Max L."	11	English Language Arts	2.5	0.5	1.5	English 9	Comp	0.5	TM2:[B-]	S2:[B-]	
"Baker, Max L."	11	English Language Arts	2.5	0.5	1.5	English 9	Comp	0.5	TM1:[C]	S1:[C]	
"Baker, Max L."	11	English Language Arts	2.5	0.5	1.5	English 10	Comp	0.5	TM1:[A+]	S1:[A+]	
"Baker, Max L."	11	English Language Arts	2.5	0.5	1.5	English 10	Comp	0.5	TM2:[A-]	S2:[A-]	
"Baker, Max L."	11	English Language Arts	2.5	0.5	1.5	English 11	Comp	0.5	TM1:[A-]	S1:[B+]	
"Baker, Max L."	11	English Language Arts	2.5	0.5	1.5	English 11	IP	0.5	TM2:[A-]		
"Baker, Max L."	11	Mathematics	3	0	0						
"Baker, Max L."	11	Geometry	1	0	0	Geometry	Comp	0.5	TM1:[B-]	S1:[C+]	
"Baker, Max L."	11	Geometry	1	0	0	Geometry	Comp	0.5	TM2:[A-]	S2:[B+]	
"Baker, Max L."	11	Mathematics Electives	2	0	0	Algebra I-9	Comp	0.5	TM2:[B-]	S2:[B-]	
"Baker, Max L."	11	Mathematics Electives	2	0	0	Algebra I-9	Comp	0.5	TM1:[A]	S1:[A-]	
"Baker, Max L."	11	Mathematics Electives	2	0	0	Algebra II	Comp	0.5	TM1:[B]	S1:[C+]	
"Baker, Max L."	11	Mathematics Electives	2	0	0	Business Math	Comp	0.5	TM1:[C+]	S1:[B-]	
"Baker, Max L."	11	Science	2.5	0.5	0.5						
"Baker, Max L."	11	Biology	1	0	0	Biology	Comp	0.5	TM1:[B-]	S1:[C+]	
"Baker, Max L."	11	Biology	1	0	0	Biology	Comp	0.5	TM2:[C]	S2:[C]	
"Baker, Max L."	11	Science Electives	1.5	0.5	0.5	Physical Sc. 9	Comp	0.5	TM1:[B]	S1:[B]	
"Baker, Max L."	11	Science Electives	1.5	0.5	0.5	Physical Sc. 9	Comp	0.5	TM2:[C+]	S2:[C+]	
"Baker, Max L."	11	Science Electives	1.5	0.5	0.5	Chemistry I	Comp	0.5	TM1:[B+]	S1:[B+]	
"Baker, Max L."	11	Science Electives	1.5	0.5	0.5	Chemistry I	IP	0.5	TM2:[A+]		
"Baker, Max L."	11	Social Studies	2.5	0.5	1						
"Baker, Max L."	11	US History	0.5	0.5	0.5	American Histor	Comp	0.5	TM1:[A-]	S1:[A-]	
"Baker, Max L."	11	US History	0.5	0.5	0.5	American Histor	IP	0.5	TM2:[A+]		
"Baker, Max L."	11	US Government	0	0	0.5						
"Baker, Max L."	11	Social Studies Electives	2	0	0	Civics-9	Comp	0.5	TM1:[C]	S1:[C]	
"Baker, Max L."	11	Social Studies Electives	2	0	0	Geography-9	Comp	0.5	TM2:[C+]	S2:[C+]	
"Baker, Max L."	11	Social Studies Electives	2	0	0	World History	Comp	0.5	TM1:[A]	S1:[A-]	
"Baker, Max L."	11	Social Studies Electives	2	0	0	World History	Comp	0.5	TM2:[B]	S2:[B]	
"Baker, Max L."	11	PE/ Health	1	0	0	P E/Health (Boy	Comp	0.5	TM1:[C+]	S1:[C+]	
"Baker, Max L."	11	PE/ Health	1	0	0	P E/Health (Boy	Comp	0.5	TM2:[A]	S2:[A]	
"Baker, Max L."	11	Oral Communications	0.5	0	0	Skills in Commu	Comp	0.5	TM1:[A-]	S1:[A-]	
"Baker, Max L."	11	Computer Science	0.5	0	0	Business Essent	Comp	0.5	TM2:[A-]	S2:[A-]	
"Baker, Max L."	11	Fine Arts	1	0	0	Music in the Me	Comp	0.5	TM1:[B]	S1:[B]	
"Baker, Max L."	11	Fine Arts	1	0	0	History of Popu	Comp	0.5	TM1:[A-]	S1:[A-]	
"Baker, Max L."	11	General Electives	4	2	2.5	Marketing	Comp	0.5	TM2:[B+]	S2:[B]	
"Baker, Max L."	11	General Electives	4	2	2.5	Career Life Pl.	Comp	0.5	TM1:[B]	S1:[B]	
"Baker, Max L."	11	General Electives	4	2	2.5	Marketing II	Comp	0.5	TM2:[B-]	S2:[B-]	
"Baker, Max L."	11	General Electives	4	2	2.5	Culinary Es.	Comp	0.5	TM2:[A+]	S2:[A+]	
"Baker, Max L."	11	General Electives	4	2	2.5	Woodworking	Comp	0.5	TM2:[A]	S2:[A-]	
"Baker, Max L."	11	General Electives	4	2	2.5	Strngh & Con II	Comp	0.5	TM1:[A+]	S1:[A+]	
"Baker, Max L."	11	General Electives	4	2	2.5	Intro. to Draw.	Comp	0.5	TM1:[C]	S1:[C]	
"Baker, Max L."	11	General Electives	4	2	2.5	Culinary Arts I	Comp	0.5	TM1:[A+]	S1:[A+]	
"Baker, Max L."	11	General Electives	4	2	2.5	Culinary Arts I	IP	0.5			
"Baker, Max L."	11	General Electives	4	2	2.5	Algebra II	IP	0.5	TM2:[A-]		
"Baker, Max L."	11	General Electives	4	2	2.5	Strngh & Con II	IP	0.5			
"Baker, Max L."	11	General Electives	4	2	2.5	Psychology	IP	0.5	TM2:[C+]		
"Brown, Ali M."	10	Total	10.5	3.5	12.5						
"Brown, Ali M."	10	English Language Arts	1.5	0.5	2.5	English 9	Comp	0.5	TM2:[A]	S2:[A]	
"Brown, Ali M."	10	English Language Arts	1.5	0.5	2.5	English 9	Comp	0.5	TM1:[A]	S1:[A-]	
"Brown, Ali M."	10	English Language Arts	1.5	0.5	2.5	English 10	Comp	0.5	TM1:[A]	S1:[A]	
"Brown, Ali M."	10	English Language Arts	1.5	0.5	2.5	English 10	IP	0.5	TM2:[A+]		
"Brown, Ali M."	10	Mathematics	1.5	0.5	1.5						
"Brown, Ali M."	10	Geometry	0.5	0.5	0.5	Geometry	Comp	0.5	TM1:[B]	S1:[B-]	
"Brown, Ali M."	10	Geometry	0.5	0.5	0.5	Geometry	IP	0.5	TM2:[A+]		
"Brown, Ali M."	10	Mathematics Electives	1	0	1	Algebra I-9	Comp	0.5	TM2:[A-]	S2:[A-]	
"Brown, Ali M."	10	Mathematics Electives	1	0	1	Algebra I-9	Comp	0.5	TM1:[A-]	S1:[A-]	
"Brown, Ali M."	10	Science	2	1	1						
"Brown, Ali M."	10	Biology	0.5	0.5	0.5	Biology	Comp	0.5	TM1:[B+]	S1:[B]	
"Brown, Ali M."	10	Biology	0.5	0.5	0.5	Biology	IP	0.5			
"Brown, Ali M."	10	Science Electives	1.5	0.5	0.5	Physical Sc. 9	Comp	0.5	TM1:[A-]	S1:[A-]	
"Brown, Ali M."	10	Science Electives	1.5	0.5	0.5	Physical Sc. 9	Comp	0.5	TM2:[B+]	S2:[B+]	
"Brown, Ali M."	10	Science Electives	1.5	0.5	0.5	Chemistry I	Comp	0.5	TM1:[B+]	S1:[B+]	
"Brown, Ali M."	10	Science Electives	1.5	0.5	0.5	Chemistry I	IP	0.5	TM2:[A+]		
"Brown, Ali M."	10	Social Studies	1.5	0.5	2						
"Brown, Ali M."	10	US History	0	0	1						
"Brown, Ali M."	10	US Government	0	0	0.5						
"Brown, Ali M."	10	Social Studies Electives	1.5	0.5	0.5	Civics-9	Comp	0.5	TM2:[B+]	S2:[B+]	
"Brown, Ali M."	10	Social Studies Electives	1.5	0.5	0.5	Geography-9	Comp	0.5	TM1:[A]	S1:[A]	
"Brown, Ali M."	10	Social Studies Electives	1.5	0.5	0.5	World History	Comp	0.5	TM1:[B+]	S1:[B+]	
"Brown, Ali M."	10	Social Studies Electives	1.5	0.5	0.5	World History	IP	0.5	TM2:[A+]		
"Brown, Ali M."	10	PE/ Health	1	0	0	P E/Health (Boy	Comp	0.5	TM1:[A]	S1:[A]	
"Brown, Ali M."	10	PE/ Health	1	0	0	P E/Health (Boy	Comp	0.5	TM2:[A-]	S2:[A-]	
"Brown, Ali M."	10	Oral Communications	0.5	0	0	Skills in Commu	Comp	0.5	TM2:[A-]	S2:[A-]	
"Brown, Ali M."	10	Computer Science	0.5	0	0	Comp App	Comp	0.5	TM1:[A]	S1:[A-]	
"Brown, Ali M."	10	Fine Arts	1	0	0	Intro. to Draw.	Comp	0.5	TM1:[B]	S1:[B]	
"Brown, Ali M."	10	Fine Arts	1	0	0	Graphic Des. I	Comp	0.5	TM2:[A-]	S2:[A-]	
"Brown, Ali M."	10	General Electives	1	1	5.5	Career Life Pl.	Comp	0.5	TM1:[A-]	S1:[A-]	
"Brown, Ali M."	10	General Electives	1	1	5.5	Culinary Es.	IP	0.5			
"Brown, Ali M."	10	General Electives	1	1	5.5	Strength & Cond	Comp	0.5	TM1:[A]	S1:[A]	
"Brown, Ali M."	10	General Electives	1	1	5.5	Strngh & Con II	IP	0.5
	
